nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée général et technologique La Serre de Sarsan,Public,Général,Lourdes,2.3,(5),5.0,60.0,7.0,Lourdes rue Saint-Exupéry BP 703 65107 Lourdes,95.0,60.0,57.0,10.8,13.3
Lycée Joseph Desfontaines,Public,Général,Melle,3.8,(6),11.0,64.0,10.0,Melle 2 rue Guillotiere BP 31 79500 Melle,96.0,64.0,184.0,12.3,11.4
Lycée polyvalent Victor Duruy,Public,Polyvalent,Bagnères-de-Bigorre,3.4,(6),9.0,58.0,9.0,Bagnères-de-Bigorre 3 bis allées Jean Jaurès BP 108 65201 Bagnères-de-Bigorre,94.0,58.0,171.0,12.5,11.4
Lycée Jean Macé,Public,Général,Niort,3.9,(12),5.0,60.0,12.0,Niort 20 rue Gustave Eiffel BP 96 79004 Niort,96.0,60.0,360.0,14.5,13.8
Lycée Julliot de la Morandière,Public,Polyvalent,Granville,3.7,(8),19.0,54.0,10.0,Granville 12 rue de la Crête BP 639 50406 Granville,92.0,54.0,273.0,11.3,10.8
Lycée climatique René Billères,Public,Spécialisé,Argelès-Gazost,3.2,(18),11.0,64.0,8.0,Argelès-Gazost 6 avenue Marcel Lemettre BP 103 65402 Argelès-Gazost,95.0,64.0,89.0,11.8,9.5
Lycée polyvalent privé Notre-Dame de Garaison,Privé,Polyvalent,Monléon-Magnoac,3.4,(24),7.0,50.0,9.0,Monléon-Magnoac 2 route du Cier Garaison 65670 Monléon-Magnoac,96.0,50.0,62.0,9.5,12.9
Lycée général et technologique Marie Curie,Public,Général,Tarbes,3.6,(10),10.0,55.0,15.0,Tarbes 2 rue Georges Ledormeur BP 9301 65930 Tarbes,92.0,55.0,412.0,12.2,11.9
Lycée Les Eucalyptus,Public,Général,Nice,3.3,(9),17.0,59.0,5.0,Nice 7 avenue des Eucalyptus BP 83306 06206 Nice,91.0,59.0,218.0,13.6,10.8
Lycée Don Bosco,Privé,Général,Nice,3.1,(20),40.0,83.0,5.0,Nice 40 Place Don Bosco 06046 Nice,100.0,83.0,129.0,10.2,9.2
Lycée Bristol,Public,Général,Cannes,2.6,(35),38.0,45.0,10.0,Cannes 10 avenue Saint Nicolas CS 20114 06414 Cannes,88.0,45.0,309.0,9.7,10.5
Lycée Henri Matisse,Public,Général,Vence,3.3,(29),33.0,70.0,11.0,Vence 101 avenue Foch 06140 Vence,96.0,70.0,324.0,11.1,11.8
Lycée Thierry Maulnier,Public,Général,Nice,3.5,(18),43.0,53.0,11.0,Nice 2 avenue Claude Debussy 06200 Nice,90.0,53.0,475.0,6.0,10.0
