nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée d'altitude,Public,Polyvalent,Briançon,3.7,(6),5.0,70.0,10.0,Briançon 2 rue Marius Chancel 05105 Briançon,97.0,70.0,206.0,15.0,9.4
Lycée Jules Haag,Public,Polyvalent,Besançon,3.7,(9),13.0,60.0,9.0,Besançon 1 rue Edmond Labbé 25041 Besançon,92.0,60.0,520.0,10.9,12.7
Lycée privé Notre-Dame des Dunes,Privé,Général,Dunkerque,3.2,(21),11.0,81.0,11.0,Dunkerque 60 rue du Sud 59140 Dunkerque,100.0,81.0,167.0,15.1,17.0
Lycée Edgar Faure,Public,Polyvalent,Morteau,4.1,(6),10.0,57.0,8.0,Morteau 2 rue du Docteur Sauze BP 63087 25503 Morteau cedex,94.0,57.0,307.0,11.8,13.4
Lycée Dominique Villars,Public,Général,Gap,2.4,(8),2.0,75.0,11.0,Gap Place de Verdun BP 1004 05010 Gap,99.0,75.0,215.0,15.2,11.2
Institut de Genech,Privé,Général,Genech,4.2,(14),9.0,83.0,10.0,Genech Rue de la Libération 59242 Genech,100.0,83.0,249.0,17.1,11.8
Lycée François Truffaut,Public,Polyvalent,Bondoufle,3.4,(7),7.0,44.0,8.0,Bondoufle Rue Georges Pompidou BP 108 91070 Bondoufle,87.0,44.0,419.0,14.2,15.9
Lycée polyvalent Jean Jacques Henner,Public,Polyvalent,Altkirch,3.2,(12),5.0,67.0,10.0,Altkirch 20 rue de Hirtzbach 68130 Altkirch,95.0,67.0,514.0,15.0,11.7
Lycée Georges Pompidou (voie générale et technologique),Public,Polyvalent,Castelnau-le-Lez,3.5,(25),8.0,67.0,10.0,Castelnau-le-Lez 351 avenue Maréchal de Lattre de Tassigny BP 71 34170 Castelnau-le-Lez,94.0,67.0,510.0,10.3,14.8
Lycée privé Saint-Grégoire,Privé,Général,Tours,4.1,(5),9.0,86.0,8.0,Tours 3 place Choiseul 37100 Tours,99.0,86.0,65.0,11.4,14.0
Lycée polyvalent privé Saint-Gatien La Salle,Privé,Polyvalent,Joué-lès-Tours,4.4,(11),7.0,63.0,9.0,Joué-lès-Tours 107 rue De LA Douzillère 37300 Joué-lès-Tours,94.0,63.0,142.0,12.6,14.4
Lycée polyvalent Pierre Forest,Public,Polyvalent,Maubeuge,4.0,(7),10.0,48.0,11.0,Maubeuge boulevard Charles de Gaulle BP 30599 59605 Maubeuge,86.0,48.0,385.0,9.2,17.1
Lycée Lavoisier,Public,Général,Mayenne,3.0,(22),9.0,66.0,10.0,Mayenne 281 rue du Pommier BP 70139 53103 Mayenne cedex,99.0,66.0,201.0,12.8,14.3
Lycée polyvalent privé La Salle Saint-Charles,Privé,Polyvalent,Saint-Pierre,3.7,(8),10.0,78.0,8.0,Saint-Pierre 62 rue Auguste Babet BP 394 97458 Saint-Pierre,99.0,78.0,270.0,15.1,12.3
Lycée général et technologique Alexis Monteil,Public,Général,Rodez,3.8,(4),16.0,60.0,10.0,Rodez 14 rue Carnus BP 3405 12034 Rodez,97.0,60.0,348.0,11.7,10.3
Lycée polyvalent Jean Zay,Public,Polyvalent,Orléans,3.4,(25),10.0,57.0,11.0,Orléans 2 rue Ferdinand Buisson 45044 Orléans,89.0,57.0,464.0,12.7,7.3
Lycée privé Saint-Guilhem,Privé,Général,Clermont-l'Hérault,5.0,(1),9.0,94.0,6.0,Clermont-l'Hérault RD 609 34800 Clermont-l'Hérault,100.0,94.0,36.0,14.7,10.3
Lycée privé Saint-Vaast-Saint-Dominique,Privé,Général,Béthune,3.8,(15),1.0,74.0,9.0,Béthune 92 rue de l'université BP 47 62401 Béthune,98.0,74.0,162.0,16.8,16.0
Lycée Geoffroy- Saint-Hilaire,Public,Polyvalent,Étampes,3.0,(26),4.0,60.0,10.0,Étampes 2-6 avenue Geoffroy-Saint-Hilaire 91150 Étampes,94.0,60.0,621.0,16.1,11.2
Lycée Georges Brassens,Public,Polyvalent,Évry-Courcouronnes,3.0,(20),3.0,50.0,8.0,Évry-Courcouronnes 8 rue Georges Brassens 91080 Évry-Courcouronnes,90.0,50.0,400.0,14.3,16.3
Lycée François Joseph Talma,Public,Général,Brunoy,2.6,(5),2.0,59.0,8.0,Brunoy 1 rue des Cerfs BP 84 91805 Brunoy,95.0,59.0,428.0,16.8,14.4
Lycée Camille Sée,Public,Général,Colmar,3.4,(10),3.0,72.0,10.0,Colmar 42 avenue de l'Europe 68025 Colmar,95.0,72.0,299.0,13.4,15.5
Lycée et section d'enseignement professionnel La Providence,Privé,Polyvalent,Montauban-de-Bretagne,2.7,(15),2.0,82.0,9.0,Montauban-de-Bretagne 21 rue de Rennes BP 36007 35360 Montauban-de-Bretagne,100.0,82.0,94.0,15.7,17.1
Lycée polyvalent Germaine Tillion,Public,Polyvalent,Montbéliard,4.5,(3),8.0,50.0,9.0,Montbéliard 1bis rue Pierre Donzelot BP 327 25206 Montbéliard,90.0,50.0,522.0,13.6,10.1
Lycée Xavier Marmier,Public,Polyvalent,Pontarlier,2.9,(12),9.0,64.0,10.0,Pontarlier 53 rue de Doubs BP 269 25304 Pontarlier cedex,96.0,64.0,460.0,13.6,12.5
Lycée Jean-Baptiste Corot,Public,Général,Douai,3.2,(8),7.0,61.0,13.0,Douai 133 rue Saint Vaast BP 90810 59508 Douai,90.0,61.0,300.0,15.6,17.2
Lycée privé Saint-Jacques,Privé,Général,Hazebrouck,3.7,(12),6.0,73.0,9.0,Hazebrouck 58 rue de la sous-Prefecture 59190 Hazebrouck,95.0,73.0,163.0,16.8,17.2
Lycée Joffre,Public,Général,Montpellier,3.4,(30),6.0,75.0,9.0,Montpellier 150 Allée de la Citadelle 34060 Montpellier,96.0,75.0,519.0,15.6,14.2
Lycée privé Nevers (voie générale et technologique),Privé,Polyvalent,Montpellier,3.7,(35),5.0,81.0,9.0,Montpellier 18 rue DE LA GARENNE 34090 Montpellier,100.0,81.0,368.0,15.4,15.6
Lycée Jeanne d'Arc,Privé,Général,Étampes,3.7,(13),5.0,84.0,8.0,Étampes 11 boulevard Henri IV BP 22 91150 Étampes,100.0,84.0,104.0,16.0,14.3
Lycée polyvalent Stanislas,Public,Polyvalent,Wissembourg,4.2,(17),1.0,74.0,11.0,Wissembourg 7 rue du lycée BP 40143 67163 Wissembourg,97.0,74.0,436.0,16.7,14.6
Lycée polyvalent privé Maison Blanche,Privé,Général,Saint-Paul,4.3,(6),7.0,90.0,7.0,Saint-Paul 7 chemin Summer n°3 Le Guillaume 97423 Saint-Paul,99.0,90.0,130.0,16.0,14.5
Lycée général et technologique Louis Payen,Public,Général,Saint-Paul,3.6,(5),6.0,57.0,10.0,Saint-Paul 329 rue Saint-Louis BP 114 97863 Saint-Paul,96.0,57.0,198.0,16.3,16.3
Lycée polyvalent Louise Weiss,Public,Polyvalent,Sainte-Marie-aux-Mines,3.7,(3),1.0,65.0,7.0,Sainte-Marie-aux-Mines 5 route du Stade 68160 Sainte-Marie-aux-Mines,87.0,65.0,68.0,18.8,9.4
Lycée polyvalent Jean Mermoz,Public,Polyvalent,Saint-Louis,3.4,(11),4.0,65.0,9.0,Saint-Louis 53 rue du docteur Marcel Hurst 68300 Saint-Louis,94.0,65.0,594.0,15.3,12.3
Lycée Jeanne d'Arc,Privé,Polyvalent,Vitré,3.7,(11),4.0,74.0,9.0,Vitré 13 place de la République BP 90326 35503 Vitré cedex,99.0,74.0,270.0,14.8,16.4
Lycée polyvalent François Rabelais,Public,Polyvalent,Chinon,3.0,(23),5.0,65.0,12.0,Chinon 28 quai Danton BP 90146 37501 Chinon cedex 1,96.0,65.0,410.0,12.5,14.8
Lycée Victor Hugo,Public,Général,Besançon,3.1,(13),6.0,54.0,10.0,Besançon 1 rue Rembrandt BP 2159 25052 Besançon cedex,93.0,54.0,305.0,14.0,12.1
Lycée polyvalent Jean Hinglo,Public,Polyvalent,Le Port,2.8,(6),8.0,53.0,11.0,Le Port 2 rue des Sans-Soucis BP 2021 97825 Le Port,95.0,53.0,307.0,15.7,15.8
Lycée Claude Nicolas Ledoux,Public,Polyvalent,Besançon,3.4,(13),3.0,76.0,11.0,Besançon 14 rue Alain Savary BP 1327 25006 Besançon cedex,96.0,76.0,274.0,14.5,15.4
Lycée Alfred Kastler,Public,Général,Denain,3.2,(5),2.0,51.0,9.0,Denain 123 rue Paul Elie Casanova BP 249 59723 Denain,88.0,51.0,167.0,17.9,15.1
Lycée polyvalent La Découverte,Public,Polyvalent,Decazeville,4.5,(7),12.0,60.0,10.0,Decazeville avenue Léo Lagrange BP 352 12300 Decazeville,92.0,60.0,181.0,12.3,9.0
Lycée Ferdinand Fabre,Public,Général,Bédarieux,3.1,(13),4.0,63.0,8.0,Bédarieux Boulevard Jean Moulin 34600 Bédarieux,94.0,63.0,64.0,15.2,16.5
Lycée Paul Valéry,Public,Général,Sète,3.8,(16),3.0,67.0,10.0,Sète 55 rue Paul Valéry 34200 Sète,96.0,67.0,183.0,10.6,16.6
Lycée polyvalent Thérèse Planiol,Public,Polyvalent,Loches,4.1,(21),3.0,65.0,10.0,Loches Place des Prébendes 37600 Loches,94.0,65.0,335.0,15.2,12.0
Lycée Jean Monnet,Public,Général,Joué-lès-Tours,3.4,(16),2.0,64.0,10.0,Joué-lès-Tours 45 rue de la Gitonnière BP 600 37306 Joué-lès-Tours cedex,95.0,64.0,347.0,13.8,15.4
Lycée privé La Merci Littoral (voie générale et technologique),Privé,Polyvalent,La Grande-Motte,3.8,(7),2.0,83.0,8.0,La Grande-Motte 603 AVENUE DE LA PETITE MOTTE 34280 La Grande-Motte,98.0,83.0,191.0,15.8,16.8
Lycée Paul Claudel,Public,Général,Laon,3.2,(12),2.0,54.0,10.0,Laon place Foch BP 531 02001 Laon,93.0,54.0,347.0,17.4,13.1
Lycée polyvalent de Trois Bassins,Public,Polyvalent,Les Trois-Bassins,3.0,(8),4.0,58.0,10.0,Les Trois-Bassins 81 rue Georges Brassens BP 03 97426 Les Trois-Bassins,97.0,58.0,221.0,14.3,16.9
Lycée général et technologique privé Levavasseur,Privé,Général,Saint-Denis,3.9,(23),5.0,88.0,7.0,Saint-Denis 4 rue Fénelon CS 91074 97404 Saint-Denis,100.0,88.0,260.0,15.3,16.4
Lycée polyvalent Maurice Genevoix,Public,Polyvalent,Ingré,3.2,(17),1.0,69.0,8.0,Ingré 1 avenue de la Grenaudière BP 30 45147 Ingré,96.0,69.0,377.0,14.4,16.0
Lycée Auguste Loubatières (voie générale et technologique),Public,Polyvalent,Agde,3.6,(16),1.0,61.0,11.0,Agde Boulevard Jean Monnet BP 60109 34304 Agde,96.0,61.0,369.0,14.6,18.2
Lycée Don Bosco,Privé,Général,Mayenne,3.4,(8),1.0,67.0,7.0,Mayenne 18 boulevard Anatole France BP 55 53102 Mayenne,100.0,67.0,75.0,16.4,17.4
Lycée polyvalent Joseph-Marie Jacquard,Public,Polyvalent,Caudry,4.7,(54),1.0,65.0,9.0,Caudry 4 avenue Jean Moulin BP 90207 59544 Caudry,94.0,65.0,217.0,15.8,18.2
Lycée polyvalent Raoul Vadepied,Public,Polyvalent,Évron,3.9,(9),2.0,67.0,8.0,Évron Boulevard Rossignol 53600 Évron,96.0,67.0,130.0,15.5,12.7
Lycée de l'Immaculée Conception,Privé,Général,Laval,3.6,(14),3.0,77.0,9.0,Laval 15 rue Crossardière 53000 Laval,100.0,77.0,284.0,15.4,13.4
Lycée polyvalent Léon Blum,Public,Polyvalent,Villefranche-de-Lauragais,2.7,(4),1.0,72.0,9.0,Villefranche-de-Lauragais 8 chemin du tracas BP 34 31290 Villefranche-de-Lauragais,99.0,72.0,251.0,13.9,16.7
Lycée polyvalent de Vincendo,Public,Polyvalent,Saint-Joseph,3.0,(8),3.0,64.0,11.0,Saint-Joseph 10 route de la Marine Vincendo 97480 Saint-Joseph,97.0,64.0,167.0,15.9,17.0
Lycée polyvalent Pierre d'Aragon,Public,Polyvalent,Muret,3.2,(32),3.0,57.0,11.0,Muret 14 avenue Henri Peyrusse BP 70316 31605 Muret,97.0,57.0,488.0,12.5,16.0
Lycée polyvalent Jean Jaurès,Public,Polyvalent,Saint-Affrique,3.2,(7),2.0,61.0,10.0,Saint-Affrique 625 avenue Jean Jaurès 12400 Saint-Affrique,96.0,61.0,94.0,14.9,11.2
Lycée polyvalent de Haute Auvergne,Public,Polyvalent,Saint-Flour,3.0,(10),2.0,67.0,7.0,Saint-Flour 20 rue Marcellin Boudet BP 41 15101 Saint-Flour cedex,96.0,67.0,186.0,13.8,12.5
Lycée polyvalent Jean-Baptiste Vuillaume,Public,Général,Mirecourt,3.2,(10),15.0,58.0,7.0,Mirecourt 5 avenue Graillet BP 109 88503 Mirecourt,96.0,58.0,174.0,12.6,9.2
Lycée Jean Lurçat,Public,Général,Bruyères,2.7,(3),14.0,63.0,6.0,Bruyères 22 avenue de Lattre de Tassigny 88600 Bruyères,98.0,63.0,113.0,12.9,9.1
"Lycée des métiers de la conception, de l'automatique et de l'énergie Pierre Mendès France",Public,Polyvalent,Épinal,4.0,(10),13.0,59.0,6.0,Épinal 2 rue du Haut des Etages 88021 Épinal,91.0,59.0,239.0,13.0,11.3
Lycée Alcide Dusolier,Public,Polyvalent,Nontron,3.0,(8),11.0,62.0,9.0,Nontron Avenue Jules Ferry 24300 Nontron,94.0,62.0,105.0,11.9,12.8
Lycée La Haie Griselle,Public,Général,Gérardmer,4.2,(10),20.0,69.0,8.0,Gérardmer 25 chemin des Epinettes 88407 Gérardmer,95.0,69.0,160.0,11.8,10.0
Lycée des métiers des arts de l'habitat et de l'ameublement Pierre et Marie Curie,Public,Polyvalent,Neufchâteau,2.9,(13),19.0,56.0,8.0,Neufchâteau Rue Victor Martin BP 269 88307 Neufchâteau,92.0,56.0,191.0,12.0,8.3
Lycée Saint-Paul,Privé,Général,Saint-Étienne,3.5,(25),39.0,81.0,12.0,Saint-Étienne 9 rue de la Paix BP 286 42016 Saint-Étienne,99.0,81.0,167.0,12.1,9.3
Lycée Saint-Paul,Privé,Général,Roanne,3.9,(8),48.0,65.0,7.0,Roanne 15 rue Bourgneuf 42300 Roanne,98.0,65.0,74.0,10.4,7.1
Lycée Georges Brassens,Public,Général,Rive-de-Gier,3.9,(11),47.0,58.0,9.0,Rive-de-Gier 8 rue GRANGE BURLAT 42800 Rive-de-Gier,96.0,58.0,281.0,10.8,7.7
Cité scolaire Monnet Fourneyron - Lycée Monnet Fourneyron - site Portail rouge,Public,Général,Saint-Étienne,2.7,(7),44.0,55.0,9.0,Saint-Étienne 16 rue du Portail Rouge BP 269 42014 Saint-Étienne,97.0,55.0,159.0,11.2,10.7
Lycée Albert Camus,Public,Général,Firminy,3.2,(12),46.0,47.0,10.0,Firminy 32 bis rue de la Loire BP 180 42700 Firminy,87.0,47.0,236.0,10.4,11.0
Lycée Geneviève de Gaulle-Anthonioz (voie générale et technologique),Public,Polyvalent,Milhaud,3.6,(15),26.0,49.0,10.0,Milhaud 43 rue du Moulin 30540 Milhaud,89.0,49.0,388.0,11.0,9.6
Lycée privé Institut Emmanuel d'Alzon (voie professionnelle),Privé,Polyvalent,Nîmes,3.1,(17),23.0,59.0,11.0,Nîmes 11 rue Sainte Perpétue 30000 Nîmes,96.0,59.0,358.0,11.3,11.5
Lycée polyvalent Jérémie de la Rue,Public,Polyvalent,Charlieu,3.2,(26),33.0,66.0,9.0,Charlieu Route de Saint-Bonnet BP 39 42190 Charlieu,91.0,66.0,157.0,12.7,8.7
Lycée Hippolyte Carnot,Public,Général,Roanne,4.3,(13),30.0,67.0,7.0,Roanne 35 avenue Carnot 42328 Roanne,99.0,67.0,275.0,10.9,13.0
Lycée Jean Puy,Public,Général,Roanne,3.7,(9),29.0,61.0,8.0,Roanne Rue Jean Puy BP 505 42328 Roanne,99.0,61.0,260.0,13.1,12.5
Lycée Jacques Prévert (voie générale et technologique),Public,Polyvalent,Saint-Christol-lès-Alès,4.0,(12),24.0,53.0,10.0,Saint-Christol-lès-Alès 1 place LUCIE AUBRAC 30380 Saint-Christol-lès-Alès,87.0,53.0,301.0,11.4,6.3
Lycée Etienne Mimard,Public,Général,Saint-Étienne,2.9,(6),26.0,56.0,5.0,Saint-Étienne 32 rue Etienne Mimard 42000 Saint-Étienne,90.0,56.0,141.0,13.4,10.6
Lycée Ernest Hemingway (voie générale et technologique),Public,Polyvalent,Nîmes,2.9,(8),22.0,54.0,9.0,Nîmes 98 avenue Jean Jaurès BP 7034 30910 Nîmes,92.0,54.0,332.0,11.6,6.9
Lycée général et technologique de l'Albanais,Public,Général,Rumilly,3.9,(25),28.0,73.0,10.0,Rumilly rue du Lycée BP 102 74152 Rumilly,97.0,73.0,433.0,9.6,11.5
Lycée Notre-Dame,Privé,Général,Charlieu,3.4,(22),22.0,66.0,10.0,Charlieu 9 RUE CACHERAT 42190 Charlieu,100.0,66.0,57.0,13.7,10.7
Lycée polyvalent Jean Monnet,Public,Polyvalent,Annemasse,2.5,(11),30.0,58.0,9.0,"Annemasse 1 place de Lattre de Tassigny Vetraz - Monthoux , BP 241 74106 Annemasse",89.0,58.0,371.0,11.0,11.0
Lycée Albert Claveille,Public,Polyvalent,Périgueux,3.1,(21),14.0,61.0,8.0,Périgueux 80 rue Victor Hugo BP 1085 24001 Périgueux,93.0,61.0,241.0,11.9,7.6
Lycée Louis Lapicque,Public,Général,Épinal,3.3,(9),16.0,58.0,9.0,Épinal 5 rue Nicolas Bellot 88000 Épinal,95.0,58.0,441.0,11.0,12.6
Lycée privé Bellevue,Privé,Général,Alès,3.2,(17),18.0,80.0,10.0,Alès 11 rue de la Glacière 30100 Alès,98.0,80.0,167.0,12.4,8.1
Lycée polyvalent des Glières,Public,Polyvalent,Annemasse,3.2,(18),24.0,47.0,9.0,Annemasse 2 A avenue de Verdun BP 527 74107 Annemasse,87.0,47.0,428.0,10.6,12.0
Lycée des métiers André Malraux,Public,Polyvalent,Remiremont,2.9,(13),10.0,62.0,9.0,Remiremont 13 rue de l'Epinette BP 20160 88200 Remiremont,95.0,62.0,337.0,13.4,10.7
Lycée climatique Jean Prévost,Public,Spécialisé,Villard-de-Lans,3.4,(8),33.0,79.0,8.0,Villard-de-Lans 470 rue de Tintaine BP 62 38250 Villard-de-Lans,98.0,79.0,112.0,12.7,9.9
Lycée des métiers d'art Charles Gide (voie générale et technologique),Public,Polyvalent,Uzès,3.5,(10),19.0,60.0,9.0,Uzès Place Adolphe Bosc 30700 Uzès,94.0,60.0,305.0,12.1,7.3
Lycée polyvalent André Argouges,Public,Polyvalent,Grenoble,3.5,(25),34.0,58.0,13.0,Grenoble 61 rue Léon Jouhaux 38029 Grenoble,89.0,58.0,462.0,12.5,10.7
Lycée polyvalent Edouard Herriot,Public,Polyvalent,Voiron,3.8,(13),31.0,63.0,12.0,Voiron avenue Edouard Herriot BP 228 38506 Voiron,93.0,63.0,414.0,13.0,7.1
Lycée général et technologique Marie Reynoard,Public,Général,Villard-Bonnot,3.1,(12),30.0,74.0,10.0,Villard-Bonnot 20 rue Louis Néel 38190 Villard-Bonnot,97.0,74.0,285.0,9.5,13.2
Lycée général et technologique privé Notre-Dame des Victoires,Privé,Général,Voiron,3.1,(4),29.0,77.0,9.0,Voiron 1 rue de la terrasse BP 236 38506 Voiron,99.0,77.0,167.0,13.2,10.2
Lycée général Stendhal,Public,Général,Grenoble,3.5,(13),27.0,76.0,11.0,Grenoble 1 bis place Jean Achard BP 80208 38014 Grenoble,98.0,76.0,137.0,13.4,8.4
Lycée Raymond Queneau,Public,Polyvalent,Yvetot,3.4,(13),39.0,56.0,11.0,Yvetot Rue du Docteur Zamenhof BP 143 76194 Yvetot,92.0,56.0,426.0,12.2,10.7
Lycée Anguier,Public,Polyvalent,Eu,3.3,(10),38.0,54.0,13.0,Eu Place Gaston Leroux 76260 Eu,92.0,54.0,260.0,12.2,8.4
Lycée polyvalent Elie Cartan,Public,Polyvalent,La Tour-du-Pin,3.3,(11),35.0,59.0,9.0,La Tour-du-Pin 2 rue Justin Vernet BP 212 38110 La Tour-du-Pin,91.0,59.0,191.0,12.4,8.1
Lycée polyvalent Ella Fitzgerald,Public,Polyvalent,Vienne,3.5,(9),36.0,53.0,11.0,Vienne 4 RD 502 - ST ROMAIN EN GAL BP 40 38200 Vienne,89.0,53.0,587.0,12.4,6.0
Lycée général Champollion,Public,Général,Grenoble,3.6,(25),39.0,84.0,12.0,Grenoble 1 cours LAFONTAINE 38026 Grenoble,99.0,84.0,258.0,11.9,8.3
Lycée polyvalent Hector Berlioz,Public,Polyvalent,La Côte-Saint-André,3.0,(14),26.0,49.0,9.0,La Côte-Saint-André place de l'Europe 38260 La Côte-Saint-André,92.0,49.0,274.0,13.4,8.3
Lycée Val de Seine,Public,Général,Le Grand-Quevilly,2.9,(28),31.0,53.0,12.0,Le Grand-Quevilly 11 avenue Georges Braque BP 266 76124 Le Grand-Quevilly,91.0,53.0,421.0,12.6,12.2
Lycée polyvalent Vaucanson,Public,Polyvalent,Grenoble,3.4,(5),28.0,52.0,8.0,Grenoble 27 rue Anatole France 38030 Grenoble,86.0,52.0,253.0,13.4,11.1
"Lycée privé Jeanne d'Arc, site De Gaulle",Privé,Polyvalent,Sainte-Adresse,4.0,(8),35.0,52.0,6.0,Sainte-Adresse 10 rue Général de Gaulle 76310 Sainte-Adresse,90.0,52.0,306.0,12.3,9.5
Lycée de la Côte d'Albâtre,Public,Général,Saint-Valery-en-Caux,3.3,(10),29.0,70.0,9.0,Saint-Valery-en-Caux 24 bis rue du Noroît BP 20006 76460 Saint-Valery-en-Caux,98.0,70.0,146.0,12.7,8.7
Lycée privé Jean-Baptiste de La Salle,Privé,Général,Rouen,3.2,(28),58.0,84.0,7.0,Rouen 84 rue Saint-Gervais 76000 Rouen,100.0,84.0,201.0,10.3,10.5
Lycée Gustave Flaubert,Public,Général,Rouen,3.2,(14),49.0,69.0,11.0,Rouen 1 rue Albert Dupuis 76044 Rouen,95.0,69.0,402.0,11.0,11.5
Lycée Guillaume Le Conquérant,Public,Général,Lillebonne,3.1,(18),61.0,53.0,9.0,Lillebonne Allée de la Côte Blanche 76170 Lillebonne,91.0,53.0,316.0,9.9,9.4
Lycée Jehan Ango,Public,Général,Dieppe,3.0,(10),66.0,59.0,9.0,Dieppe 25 rue Roger Lecoffre BP 228 76203 Dieppe,96.0,59.0,383.0,9.2,2.4
Lycée de la Vallée du Cailly,Public,Général,Déville-lès-Rouen,3.2,(13),24.0,47.0,9.0,Déville-lès-Rouen 44 rue du Petit-Aulnay 76250 Déville-lès-Rouen,90.0,47.0,265.0,12.7,13.1
Lycée François 1er,Public,Général,Le Havre,3.7,(16),48.0,63.0,9.0,Le Havre 2 rue Jean-Paul Sartre BP 1445 76066 Le Havre,96.0,63.0,314.0,11.6,11.3
Lycée Porte Océane,Public,Polyvalent,Le Havre,3.2,(10),71.0,26.0,9.0,Le Havre 44 rue Emile Zola BP 40217 76053 Le Havre,73.0,26.0,174.0,6.0,5.9
Lycée Schuman-Perret,Public,Polyvalent,Le Havre,4.2,(6),62.0,39.0,7.0,Le Havre 51 avenue du 8 mai 1945 76610 Le Havre,73.0,39.0,310.0,6.4,9.8
Lycée Blaise Pascal,Public,Polyvalent,Rouen,3.7,(13),22.0,53.0,7.0,Rouen 5 rue des Emmurées BP 1105 76174 Rouen,90.0,53.0,265.0,13.3,3.8
Lycée général et technologique Marie Curie,Public,Général,Échirolles,3.7,(17),54.0,54.0,11.0,Échirolles avenue du 8 Mai 1945 BP 348 38435 Échirolles,92.0,54.0,403.0,10.1,8.9
Lycée polyvalent Philibert Delorme,Public,Polyvalent,L'Isle-d'Abeau,3.1,(16),55.0,53.0,13.0,L'Isle-d'Abeau 68 boulevard Saint-Hubert BP 10 38081 L'Isle-d'Abeau,88.0,53.0,370.0,9.6,9.8
Lycée général et technologique Aristide Bergès,Public,Général,Seyssinet-Pariset,2.7,(8),49.0,59.0,9.0,Seyssinet-Pariset 30 avenue Aimé Bouchayer BP 31 38171 Seyssinet-Pariset,93.0,59.0,368.0,10.7,10.7
Lycée polyvalent Louise Michel,Public,Polyvalent,Grenoble,3.1,(6),47.0,44.0,8.0,Grenoble 30 rue Louise Michel BP 2708 38037 Grenoble cedex 2,86.0,44.0,379.0,10.3,10.8
Lycée général et technologique Camille Corot,Public,Général,Morestel,3.2,(5),45.0,56.0,8.0,Morestel 454 rue Paul Claudel BP 64 38510 Morestel,97.0,56.0,260.0,8.6,11.0
Lycée général international Europole,Public,Général,Grenoble,4.1,(18),24.0,87.0,8.0,"Grenoble 4 place de Sfax Europole, BP 1570 38012 Grenoble",99.0,87.0,167.0,13.5,9.5
Lycée général privé Externat Notre-Dame,Privé,Général,Grenoble,4.4,(5),23.0,79.0,12.0,Grenoble 43 avenue Marcelin Berthelot 38100 Grenoble,100.0,79.0,111.0,13.7,12.2
Lycée polyvalent Pablo Neruda,Public,Polyvalent,Saint-Martin-d'Hères,3.0,(10),21.0,68.0,11.0,Saint-Martin-d'Hères 35 rue Henri Wallon 38400 Saint-Martin-d'Hères,94.0,68.0,319.0,14.0,10.6
Lycée polyvalent Pravaz,Public,Polyvalent,Le Pont-de-Beauvoisin,2.7,(30),22.0,58.0,9.0,Le Pont-de-Beauvoisin 257 rue du pré St Martin 38480 Le Pont-de-Beauvoisin,93.0,58.0,331.0,13.7,8.4
Ensemble scolaire Notre-Dame - Saint-Joseph (lycée),Privé,Général,Épinal,3.7,(17),8.0,73.0,8.0,Épinal 23 rue Thiers 88000 Épinal,100.0,73.0,111.0,13.6,9.6
Lycée général et technologique de la Versoie,Public,Général,Thonon-les-Bains,3.1,(26),20.0,62.0,10.0,Thonon-les-Bains 12 avenue du Forchat BP 515 74203 Thonon-les-Bains,95.0,62.0,541.0,12.8,10.7
Lycée polyvalent de l'Edit,Public,Polyvalent,Roussillon,2.9,(5),44.0,45.0,7.0,Roussillon 24 avenue du Lycée 38150 Roussillon,80.0,45.0,248.0,11.1,6.8
Lycée général privé Saint-Joseph,Privé,Général,Thônes,3.6,(16),16.0,84.0,9.0,Thônes 18 rue du bienheureux Pierre Favre 74230 Thônes,100.0,84.0,97.0,9.3,13.5
Lycée polyvalent Guillaume Fichet,Public,Polyvalent,Bonneville,2.8,(25),17.0,54.0,9.0,Bonneville 219 rue de Pressy BP 150 74136 Bonneville cedex,93.0,54.0,308.0,13.4,11.9
Lycée polyvalent Charles Poncet,Public,Polyvalent,Cluses,2.9,(15),18.0,53.0,10.0,Cluses 1 avenue Charles Poncet BP 109 74302 Cluses,90.0,53.0,500.0,13.1,6.5
Lycée Victor Hugo,Public,Général,Hennebont,3.8,(11),19.0,54.0,10.0,Hennebont 26 avenue François Mitterrand BP 142 56704 Hennebont,97.0,54.0,241.0,10.0,12.7
Lycée polyvalent Marcelin Berthelot,Public,Polyvalent,Questembert,3.8,(7),20.0,58.0,10.0,Questembert Avenue Roland Garros BP 90010 56231 Questembert,93.0,58.0,171.0,12.5,12.6
Lycée général privé Jeanne d'Arc,Privé,Général,Le Péage-de-Roussillon,2.9,(4),17.0,71.0,9.0,Le Péage-de-Roussillon 2 rue Raymond Poincaré 38550 Le Péage-de-Roussillon,100.0,71.0,80.0,14.2,4.4
Lycée des métiers Ferdinand Buisson,Public,Polyvalent,Elbeuf,2.6,(20),17.0,55.0,7.0,Elbeuf 6 rue Auguste Houzeau BP 430 76504 Elbeuf,92.0,55.0,363.0,12.8,13.6
Lycée Claude Gellée,Public,Général,Épinal,3.1,(33),4.0,71.0,11.0,Épinal 44 rue Abel Ferry 88000 Épinal,98.0,71.0,254.0,15.7,15.8
